SEASON,HOME,AWAY,W_HOME,W_AWAY,HOME_FG,AWAY_FG,HOME_FGA,AWAY_FGA,HOME_FG_PCT,AWAY_FG_PCT,HOME_FG3,AWAY_FG3,HOME_FG3A,AWAY_FG3A,HOME_FG3_PCT,AWAY_FG3_PCT,HOME_FT,AWAY_FT,HOME_FTA,AWAY_FTA,HOME_FT_PCT,AWAY_FT_PCT,HOME_OFF_REB,AWAY_OFF_REB,HOME_DEF_REB,AWAY_DEF_REB,HOME_TOT_REB,AWAY_TOT_REB,HOME_AST,AWAY_AST,HOME_STL,AWAY_STL,HOME_TURNOVERS,AWAY_TURNOVERS,HOME_BLK,AWAY_BLK,HOME_PTS,AWAY_PTS
2017-18,Nets,Pelicans,0,1,43,52,114,106,0.377,0.491,21,9,59,24,0.356,0.375,21,25,22,39,0.955,0.641,18,14,42,45,67,73,30,23,10,10,17,15,3,10,128,138
2017-18,76ers,Pelicans,1,0,39,33,93,95,0.419,0.347,14,8,34,31,0.412,0.258,8,8,9,16,0.889,0.5,8,8,50,38,64,61,26,17,10,8,16,12,4,6,100,82
2017-18,Pelicans,Jazz,0,1,47,52,93,89,0.505,0.584,8,14,22,21,0.364,0.667,7,15,13,17,0.538,0.882,6,9,24,36,41,50,24,29,10,6,14,15,6,5,109,133
2017-18,Timberwolves,Pelicans,1,0,48,42,95,101,0.505,0.416,10,8,21,33,0.476,0.242,12,15,16,17,0.75,0.882,12,18,38,33,59,53,21,23,9,9,15,13,3,8,118,107
2017-18,Thunder,Pelicans,0,1,37,46,97,90,0.381,0.511,9,13,36,24,0.25,0.542,17,9,20,13,0.85,0.692,15,5,37,36,58,53,24,30,6,10,16,16,5,2,100,114
2017-18,Pelicans,Kings,0,1,39,46,77,97,0.506,0.474,9,10,25,26,0.36,0.385,16,12,22,14,0.727,0.857,2,14,34,35,42,55,26,22,7,7,15,14,8,1,103,114
2017-18,Pelicans,Clippers,0,1,38,45,85,96,0.447,0.469,9,9,35,28,0.257,0.321,18,13,25,18,0.72,0.722,7,11,40,39,56,54,23,29,9,7,15,12,6,4,103,112
2017-18,Pelicans,Rockets,1,0,44,36,82,78,0.537,0.462,11,12,27,36,0.407,0.333,16,29,21,35,0.762,0.829,6,2,36,33,50,41,36,22,8,10,16,13,5,2,115,113
2017-18,Hornets,Pelicans,0,1,36,39,85,87,0.424,0.448,6,9,21,26,0.286,0.346,18,14,31,18,0.581,0.778,10,8,39,34,62,52,16,26,5,6,14,16,6,10,96,101
2017-18,Pelicans,Bulls,1,0,47,45,113,92,0.416,0.489,16,8,44,31,0.364,0.258,22,30,26,34,0.846,0.882,15,6,40,48,62,59,32,31,14,8,13,24,3,6,132,128
2017-18,Pelicans,Grizzlies,1,0,39,37,78,82,0.5,0.451,7,15,27,35,0.259,0.429,26,15,32,16,0.813,0.938,6,10,35,34,45,46,23,22,6,2,11,14,5,1,111,104
2017-18,Knicks,Pelicans,0,1,46,45,97,95,0.474,0.474,12,9,34,32,0.353,0.281,14,24,18,34,0.778,0.706,10,12,34,34,57,58,28,19,12,17,24,19,7,7,118,123
2017-18,Pelicans,Trail Blazers,1,0,45,45,82,101,0.549,0.446,7,12,19,42,0.368,0.286,22,11,23,14,0.957,0.786,9,14,34,25,49,48,26,24,7,13,18,11,6,6,119,113
2017-18,Grizzlies,Pelicans,1,0,37,34,88,77,0.42,0.442,5,11,19,35,0.263,0.314,26,23,32,34,0.813,0.676,14,9,36,31,61,50,21,20,7,5,10,12,5,7,105,102
2017-18,Pelicans,Pistons,1,0,46,41,82,93,0.561,0.441,6,8,22,27,0.273,0.296,14,19,21,22,0.667,0.864,9,12,32,27,52,46,31,22,7,5,17,12,9,4,112,109
2017-18,Timberwolves,Pelicans,1,0,44,33,90,78,0.489,0.423,9,6,18,29,0.5,0.207,19,26,21,28,0.905,0.929,13,7,34,31,51,44,26,20,10,5,10,16,5,6,116,98
2017-18,Jazz,Pelicans,0,1,38,41,84,82,0.452,0.5,7,14,32,30,0.219,0.467,15,12,17,12,0.882,1,6,7,30,35,43,46,23,23,12,8,14,20,1,2,98,108
2017-18,Pelicans,Knicks,0,1,38,41,84,94,0.452,0.436,6,5,26,19,0.231,0.263,21,18,27,21,0.778,0.857,4,9,44,42,52,56,24,24,3,6,10,7,5,7,103,105
